Lead_ID,Lead_Date,Lead_Source,Industry,Region,Company_Size,Employee_Count,Annual_Revenue_Estimate,Use_Case,Website_Visits_30D,Email_Open_Rate,Sales_Calls_Count,Demo_Requested,Proposal_Sent,Budget_Confirmed,Decision_Maker_Involved,Competitor_Considered,Discount_Offered_Percent,Days_In_Pipeline,Estimated_Deal_Value,Lead_Score,Sales_Rep,Deal_Won
L0147,2026-03-10,Email Campaign,Hospitality,Ontario,Large,710,"$74,255,039",Marketing Automation,18,36%,6,No,Yes,Yes,Yes,Yes,19.0,40,"$34,179",69,Rep E,Yes
L0148,2026-04-28,LinkedIn Ads,Technology,Ontario,Large,328,"$21,520,846",Workflow Automation,20,16%,2,Yes,Yes,Yes,No,No,12.5,9,"$21,191",76,Rep A,Yes
L0149,2026-04-20,Organic Website,Hospitality,British Columbia,Enterprise,1697,"$69,697,652",Workflow Automation,22,53%,5,Yes,Yes,Yes,Yes,Yes,18.4,53,"$92,884",85,Rep A,Yes
L0150,2026-01-22,LinkedIn Ads,Technology,Prairies,Medium,144,"$7,402,953",CRM Automation,11,22%,2,Yes,Yes,Yes,No,No,9.9,31,"$13,320",79,Rep D,No
L0151,2026-03-22,LinkedIn Ads,Healthcare,Ontario,Large,607,"$70,811,551",Workflow Automation,17,32%,3,Yes,Yes,No,Yes,No,6.4,25,"$64,478",73,Rep C,No
L0152,2026-01-23,LinkedIn Ads,Manufacturing,Quebec,Medium,160,"$12,956,032",Sales Forecasting,13,19%,0,Yes,No,No,No,No,9.3,17,"$11,747",43,Rep E,No
L0153,2026-03-16,Webinar,Manufacturing,Atlantic Canada,Small,24,,Workflow Automation,4,24%,2,No,No,Yes,No,Yes,11.2,49,"$1,500",28,Rep D,No
L0154,2026-02-12,Webinar,Healthcare,British Columbia,Small,30,"$2,491,316",Workflow Automation,8,38%,3,Yes,Yes,Yes,Yes,Yes,12.4,15,"$2,489",73,Rep D,Yes
L0155,2026-02-27,Email Campaign,Education,Quebec,Small,18,"$361,600",Workflow Automation,15,35%,3,Yes,No,No,No,Yes,17.3,29,"$1,500",37,Rep A,No
L0156,2026-03-18,Webinar,Education,Quebec,Small,18,"$2,771,327",CRM Automation,15,30%,3,Yes,Yes,Yes,No,No,10.0,30,"$1,500",72,Rep C,No
L0157,2026-01-18,LinkedIn Ads,Technology,Quebec,Small,57,"$3,237,096",CRM Automation,2,29%,4,Yes,Yes,No,Yes,No,9.7,21,"$4,861",61,Rep C,Yes
L0158,2026-02-20,Google Search,Technology,Prairies,Small,8,"$1,478,123",Sales Forecasting,2,29%,2,No,Yes,Yes,No,Yes,24.7,17,"$1,500",43,Rep C,No
L0159,2026-04-13,Email Campaign,Education,Alberta,Medium,248,,Sales Forecasting,17,38%,3,Yes,Yes,No,No,No,0.0,21,"$16,192",65,Rep B,No
L0160,2026-03-31,LinkedIn Ads,Retail,Prairies,Medium,217,"$12,520,861",Customer Analytics,10,66%,4,Yes,Yes,Yes,No,No,11.0,15,"$19,737",76,Rep A,Yes
L0161,2026-02-03,Google Search,Retail,Ontario,Small,45,"$1,390,896",CRM Automation,7,26%,3,No,No,No,No,Yes,18.2,26,"$4,519",20,Rep A,No
L0162,2026-03-28,Google Search,Manufacturing,British Columbia,Medium,124,"$7,741,814",CRM Automation,21,27%,2,No,Yes,Yes,No,Yes,7.6,36,"$10,067",59,Rep B,No
L0163,2026-01-26,Email Campaign,Technology,Quebec,Small,55,"$1,340,515",Marketing Automation,14,24%,0,Yes,No,No,No,No,16.4,29,"$5,320",54,Rep C,No
L0164,2026-05-01,Trade Show,Hospitality,Quebec,Large,620,"$14,750,444",CRM Automation,14,58%,5,Yes,Yes,No,No,Yes,11.6,49,"$50,987",56,Rep A,No
L0165,2026-02-21,Webinar,Manufacturing,Quebec,Medium,113,"$8,716,007",Workflow Automation,18,47%,2,Yes,Yes,No,Yes,Yes,13.5,21,"$10,044",73,Rep A,Yes
L0166,2026-01-21,Google Search,Healthcare,Ontario,Medium,97,"$7,422,692",CRM Automation,13,31%,1,No,No,No,Yes,No,9.3,22,"$4,180",52,Rep B,Yes
L0167,2026-02-18,LinkedIn Ads,Technology,Quebec,Medium,148,"$10,050,094",Customer Analytics,22,50%,3,Yes,Yes,Yes,No,No,7.2,16,"$13,005",77,Rep C,Yes
L0168,2026-01-03,Webinar,Education,Prairies,Large,405,"$52,649,209",Workflow Automation,20,51%,3,Yes,Yes,Yes,No,Yes,19.8,22,"$32,098",68,Rep D,Yes
L0169,2026-01-22,LinkedIn Ads,Healthcare,Ontario,Large,295,"$21,687,675",CRM Automation,20,14%,4,No,Yes,No,Yes,Yes,15.9,47,"$19,223",52,Rep D,No
L0170,2026-02-08,LinkedIn Ads,Technology,Atlantic Canada,Small,52,"$2,258,815",Workflow Automation,1,20%,0,No,No,No,Yes,No,3.1,27,"$3,316",28,Rep C,No
L0171,2026-04-13,LinkedIn Ads,Manufacturing,Alberta,Small,59,"$2,586,406",Sales Forecasting,10,14%,3,No,Yes,No,No,No,17.6,23,"$4,758",47,Rep B,No
L0172,2026-01-20,Organic Website,Technology,British Columbia,Small,26,"$1,811,093",Marketing Automation,4,23%,1,Yes,Yes,No,Yes,Yes,13.8,30,"$2,268",67,Rep D,Yes
L0173,2026-04-09,LinkedIn Ads,Healthcare,Quebec,Large,313,"$15,117,081",Customer Analytics,16,33%,5,No,Yes,No,Yes,No,0.3,20,"$18,201",68,Rep C,Yes
L0174,2026-01-06,LinkedIn Ads,Technology,Ontario,Small,43,"$1,016,541",Workflow Automation,2,32%,1,No,No,Yes,No,Yes,17.3,37,"$2,826",22,Rep E,No
L0175,2026-04-03,Webinar,Technology,British Columbia,Small,56,"$2,272,765",Customer Analytics,5,45%,1,No,Yes,,No,No,7.5,38,"$2,317",33,Rep D,No
L0176,2026-04-10,LinkedIn Ads,Hospitality,Quebec,Medium,179,"$11,667,651",Marketing Automation,20,22%,3,Yes,Yes,Yes,Yes,No,9.2,17,"$7,377",96,Rep B,Yes
L0177,2026-03-17,Webinar,Finance,Ontario,Enterprise,1904,"$217,875,683",CRM Automation,33,51%,7,Yes,Yes,Yes,Yes,Yes,24.2,41,"$141,791",88,Rep E,Yes
L0178,2026-01-25,Google Search,Finance,British Columbia,Small,43,"$2,013,537",CRM Automation,12,9%,4,No,Yes,No,Yes,Yes,18.5,27,"$2,365",53,Rep E,No
L0179,2026-02-25,Webinar,Healthcare,British Columbia,Small,52,"$752,168",Customer Analytics,9,47%,1,Yes,No,No,No,No,10.6,33,"$3,336",44,Rep D,No
L0180,2026-04-29,Trade Show,Finance,Ontario,Medium,245,"$10,127,845",Sales Forecasting,8,21%,3,Yes,Yes,No,Yes,No,7.8,19,"$18,617",68,Rep B,Yes
L0181,2026-01-08,Webinar,Retail,Quebec,Small,33,"$1,145,030",Workflow Automation,7,17%,2,No,No,No,No,No,5.0,16,"$2,556",36,Rep B,No
L0182,2026-02-07,Organic Website,Finance,Atlantic Canada,Medium,221,"$15,806,269",CRM Automation,13,35%,1,No,Yes,Yes,No,No,7.3,7,"$16,090",60,Rep E,Yes
L0183,2026-02-22,Email Campaign,Retail,Ontario,Medium,93,"$3,935,525",Sales Forecasting,10,32%,0,No,No,No,Yes,Yes,20.0,16,"$7,202",35,Rep D,No
L0184,2026-02-27,Referral,Finance,Ontario,Medium,71,"$13,712,948",Customer Analytics,15,,2,Yes,Yes,No,No,No,0.0,23,"$6,041",71,Rep A,Yes
L0185,2026-02-16,Referral,Finance,Alberta,Small,50,"$2,789,856",Marketing Automation,14,29%,2,Yes,Yes,Yes,Yes,No,9.8,39,"$4,154",98,Rep C,Yes
L0186,2026-02-05,Trade Show,Retail,Atlantic Canada,Medium,110,"$8,073,361",Customer Analytics,5,23%,5,Yes,Yes,No,Yes,No,10.8,16,"$11,521",76,Rep B,No
L0187,2026-03-16,Trade Show,Manufacturing,Atlantic Canada,Large,380,"$26,314,267",CRM Automation,19,14%,2,No,Yes,Yes,No,Yes,6.9,38,"$23,454",52,Rep E,No
L0188,2026-04-30,Webinar,Technology,Atlantic Canada,Small,44,"$882,412",Sales Forecasting,0,27%,3,No,No,No,No,No,11.0,11,"$4,430",27,Rep D,No
L0189,2026-01-02,,Retail,Ontario,Small,46,"$3,020,198",Workflow Automation,10,,2,No,Yes,No,Yes,No,5.4,15,"$2,516",56,Rep A,No
L0190,2026-02-28,Organic Website,Professional Services,Ontario,Medium,177,"$10,081,989",CRM Automation,4,42%,0,No,No,No,No,No,2.1,11,"$7,523",17,Rep A,No
L0191,2026-03-16,Trade Show,Retail,Prairies,Medium,134,"$10,681,521",Marketing Automation,21,15%,1,Yes,No,No,No,No,10.9,19,"$9,720",50,Rep B,Yes
L0192,2026-03-12,Organic Website,Technology,Ontario,Medium,124,"$16,752,966",CRM Automation,8,13%,3,Yes,Yes,No,Yes,No,15.0,18,"$9,893",59,Rep C,Yes
L0193,2026-03-26,Referral,Technology,Prairies,Medium,139,"$4,774,541",CRM Automation,13,48%,5,Yes,Yes,Yes,Yes,No,0.4,28,"$10,018",93,Rep D,Yes
L0194,2026-04-11,Referral,Education,Ontario,Medium,74,"$11,313,120",Sales Forecasting,25,45%,0,Yes,No,Yes,Yes,Yes,7.7,25,"$6,286",71,Rep B,Yes
L0195,2026-04-03,Webinar,Professional Services,Alberta,Small,56,"$1,823,910",Marketing Automation,14,45%,4,Yes,Yes,Yes,Yes,Yes,22.9,2,"$4,165",78,Rep A,Yes
L0196,2026-02-23,Email Campaign,Professional Services,Prairies,Small,47,"$2,881,779",Customer Analytics,7,15%,3,Yes,Yes,Yes,Yes,No,0.0,28,"$2,513",77,Rep C,Yes
L0197,2026-01-20,Referral,Finance,British Columbia,Medium,200,"$6,482,250",CRM Automation,18,47%,0,No,No,Yes,No,No,11.9,9,"$8,462",54,Rep A,Yes
L0198,2026-03-18,Webinar,Hospitality,British Columbia,Small,28,"$535,283",Customer Analytics,10,60%,3,Yes,No,No,Yes,No,0.0,6,"$2,159",53,Rep D,Yes
L0199,2026-04-10,LinkedIn Ads,,Ontario,Large,461,"$69,444,433",Customer Analytics,19,37%,4,No,Yes,Yes,No,No,0.0,48,"$45,387",75,Rep D,Yes
L0200,2026-01-26,Google Search,Technology,Ontario,Enterprise,1033,"$185,609,614",Workflow Automation,25,35%,6,Yes,Yes,Yes,No,No,4.7,59,"$89,215",85,Rep C,Yes
L0201,2026-02-19,Google Search,Healthcare,Ontario,Medium,112,"$4,623,082",CRM Automation,9,28%,4,No,Yes,Yes,No,No,4.9,25,"$11,055",60,Rep A,Yes
L0202,2026-01-29,LinkedIn Ads,Education,Ontario,Medium,242,"$12,407,553",Workflow Automation,14,26%,4,No,Yes,No,No,Yes,12.0,26,"$21,736",49,Rep C,No
L0203,2026-02-22,LinkedIn Ads,Hospitality,Ontario,Small,38,"$1,407,494",Workflow Automation,4,33%,2,Yes,Yes,No,No,No,1.2,10,"$2,835",49,Rep A,No
L0204,2026-03-29,Google Search,Healthcare,Ontario,Medium,199,"$10,205,777",CRM Automation,18,49%,2,No,Yes,No,Yes,Yes,8.1,23,"$13,208",56,Rep A,No
L0205,2026-01-12,Trade Show,Technology,Quebec,Medium,97,"$13,877,509",CRM Automation,9,34%,0,Yes,No,No,No,No,4.4,47,"$8,405",35,Rep D,No
L0206,2026-04-18,Webinar,Manufacturing,Quebec,Large,1121,"$12,611,323",CRM Automation,22,31%,3,Yes,Yes,Yes,No,No,3.2,31,"$77,863",83,Rep E,Yes
L0207,2026-03-05,Referral,Healthcare,Atlantic Canada,Small,16,"$922,513",Marketing Automation,12,13%,4,No,Yes,Yes,Yes,No,3.2,16,"$1,500",84,Rep A,Yes
L0208,2026-03-23,Trade Show,Healthcare,Quebec,Medium,183,"$11,779,326",Customer Analytics,20,49%,6,No,Yes,Yes,No,Yes,14.5,13,"$18,744",64,Rep C,Yes
L0209,2026-02-06,Webinar,Manufacturing,British Columbia,Large,601,"$76,509,183",CRM Automation,19,43%,6,No,Yes,Yes,No,Yes,12.1,83,"$60,639",60,Rep C,No
L0210,2026-02-22,Referral,Retail,Ontario,Large,394,"$13,747,661",Marketing Automation,9,47%,4,Yes,Yes,No,Yes,Yes,23.7,66,"$24,707",80,Rep B,Yes
L0211,2026-03-28,Email Campaign,Healthcare,Quebec,Medium,73,"$3,801,769",Marketing Automation,9,38%,2,No,Yes,No,No,Yes,7.6,34,"$7,319",36,Rep B,No
L0212,2026-01-09,Google Search,Manufacturing,Prairies,Small,29,"$2,371,072",Customer Analytics,7,50%,0,Yes,No,No,No,No,9.8,33,"$1,500",41,Rep C,Yes
L0213,2026-03-01,LinkedIn Ads,Retail,Ontario,Medium,228,"$2,709,284",Customer Analytics,22,25%,1,No,Yes,No,No,No,5.6,47,"$19,429",47,Rep B,No
L0214,2026-01-14,Email Campaign,Retail,Quebec,Enterprise,3725,"$80,369,968",Marketing Automation,30,31%,4,Yes,Yes,Yes,Yes,No,10.1,50,"$258,417",98,Rep D,Yes
L0215,2026-01-01,Organic Website,Technology,Ontario,Small,48,"$1,912,597",Customer Analytics,5,22%,1,No,No,No,No,No,0.0,34,"$4,370",18,Rep C,No
L0216,2026-03-04,Referral,Technology,Alberta,Small,49,"$1,433,111",Workflow Automation,11,29%,3,Yes,Yes,No,No,No,0.9,19,"$2,300",75,Rep C,Yes
L0217,2026-04-22,,Technology,Alberta,Small,42,"$2,386,787",Marketing Automation,0,25%,0,Yes,Yes,No,Yes,Yes,21.2,39,"$2,931",47,Rep A,No
L0218,2026-02-24,Webinar,Technology,Ontario,Small,52,"$285,751",Sales Forecasting,8,43%,1,Yes,Yes,No,No,Yes,24.3,11,"$2,825",50,Rep D,No
L0219,2026-03-04,Google Search,Hospitality,Alberta,Medium,104,"$5,368,378",Marketing Automation,,36%,0,No,No,No,Yes,Yes,19.9,42,"$9,416",30,Rep A,Yes
L0220,2026-01-13,LinkedIn Ads,Retail,Prairies,Medium,193,"$12,705,400",Customer Analytics,14,40%,1,No,No,Yes,No,No,1.7,9,"$10,127",47,Rep C,No
L0221,2026-01-21,Webinar,Hospitality,Prairies,Medium,235,"$6,348,510",Marketing Automation,10,39%,2,Yes,Yes,Yes,No,No,7.2,17,"$10,201",74,Rep C,Yes
L0222,2026-04-03,Email Campaign,Education,Ontario,Large,573,,Sales Forecasting,28,44%,5,Yes,Yes,Yes,No,Yes,12.5,60,"$42,346",72,Rep D,Yes
L0223,2026-02-05,Google Search,Finance,Ontario,Small,18,"$1,441,925",Sales Forecasting,,16%,0,Yes,No,No,Yes,No,2.8,1,"$1,500",49,Rep A,No
L0224,2026-02-15,LinkedIn Ads,Education,Atlantic Canada,Small,34,"$3,181,189",Customer Analytics,7,15%,0,No,No,Yes,No,Yes,18.3,33,"$2,258",23,Rep C,No
L0225,2026-04-12,Google Search,Technology,Ontario,Medium,240,"$12,443,584",Marketing Automation,15,18%,0,No,Yes,No,Yes,Yes,17.6,24,"$24,359",51,Rep B,No
L0226,2026-04-06,Google Search,Technology,British Columbia,Small,47,"$1,737,522",Sales Forecasting,11,47%,4,Yes,Yes,Yes,Yes,No,11.2,37,"$4,810",86,Rep E,Yes
L0227,2026-01-23,Email Campaign,Finance,Atlantic Canada,Medium,91,"$8,503,446",CRM Automation,3,26%,3,No,Yes,No,No,No,4.8,32,"$4,156",50,Rep C,No
L0228,2026-03-04,Google Search,Professional Services,Ontario,Small,51,"$1,054,264",Sales Forecasting,1,33%,2,Yes,Yes,No,No,No,7.0,14,"$4,213",59,Rep D,No
L0229,2026-02-10,Webinar,,Atlantic Canada,Medium,133,"$5,001,210",CRM Automation,16,48%,4,Yes,Yes,Yes,Yes,No,6.1,40,"$6,714",86,Rep B,Yes
L0230,2026-05-01,Webinar,Education,Quebec,Small,18,"$1,758,114",Marketing Automation,13,32%,1,Yes,Yes,Yes,No,No,8.0,13,"$1,500",80,Rep D,Yes
L0231,2026-02-27,Email Campaign,Professional Services,British Columbia,Large,804,"$22,762,232",Workflow Automation,17,44%,5,Yes,Yes,No,No,Yes,11.4,57,"$38,338",58,Rep D,No
L0232,2026-04-25,Email Campaign,Professional Services,Prairies,Medium,243,"$3,359,036",Sales Forecasting,10,41%,1,No,No,Yes,No,No,12.5,44,"$14,278",40,Rep C,No
L0233,2026-02-08,Referral,Hospitality,Ontario,Medium,156,"$13,311,020",CRM Automation,2,56%,0,No,No,Yes,Yes,No,11.3,19,"$14,618",54,Rep A,No
L0234,2026-03-30,Referral,Technology,Ontario,Large,667,"$47,157,692",Customer Analytics,10,40%,4,Yes,Yes,Yes,No,No,10.5,16,"$58,906",80,Rep A,Yes
L0235,2026-04-16,Trade Show,Finance,Alberta,Small,18,"$774,425",Sales Forecasting,0,46%,1,No,No,No,No,Yes,19.3,49,"$1,500",17,Rep B,No
L0236,2026-02-23,Trade Show,Technology,Ontario,Medium,184,"$5,065,192",Sales Forecasting,17,27%,2,No,No,No,No,No,13.8,33,"$15,759",28,Rep B,No
L0237,2026-01-03,Referral,Retail,Alberta,Enterprise,3802,"$213,270,752",Customer Analytics,28,50%,4,Yes,Yes,No,Yes,Yes,18.5,61,"$345,646",79,Rep C,Yes
L0238,2026-04-04,Email Campaign,Technology,Ontario,Small,27,"$431,342",Sales Forecasting,10,2%,3,Yes,Yes,,No,No,18.3,33,"$1,500",73,Rep D,Yes
L0239,2026-02-10,Webinar,Manufacturing,Ontario,Large,1186,"$20,034,039",Sales Forecasting,30,26%,1,Yes,No,Yes,No,No,9.2,26,"$83,860",68,Rep D,Yes
L0240,2026-03-28,LinkedIn Ads,Retail,Ontario,Large,854,"$30,294,421",Sales Forecasting,15,6%,4,No,Yes,No,No,No,13.1,49,"$39,869",47,Rep D,No
L0241,2026-02-21,LinkedIn Ads,Education,British Columbia,Small,20,"$2,379,691",Customer Analytics,11,19%,2,No,No,No,No,No,13.2,32,"$1,500",19,Rep A,No
L0242,2026-03-06,Organic Website,Manufacturing,Ontario,Medium,77,"$11,540,639",Sales Forecasting,17,32%,1,Yes,Yes,No,No,No,5.3,9,"$4,549",64,Rep A,Yes
L0243,2026-03-15,Google Search,Finance,Atlantic Canada,Medium,173,"$4,319,219",CRM Automation,21,35%,3,No,Yes,Yes,No,No,4.7,36,"$14,342",71,Rep E,Yes
L0244,2026-01-31,Referral,,Ontario,Small,26,"$2,051,566",Sales Forecasting,5,35%,0,No,No,No,Yes,No,14.8,35,"$1,500",43,Rep B,No
L0245,2026-04-08,Email Campaign,Manufacturing,Prairies,Small,63,"$336,443",Customer Analytics,11,25%,1,No,No,No,No,No,1.7,37,"$3,895",33,Rep B,No
L0246,2026-02-08,Email Campaign,Retail,Ontario,Enterprise,2850,"$134,006,826",Marketing Automation,15,6%,3,No,Yes,Yes,No,Yes,14.6,46,"$271,597",55,Rep A,No
L0247,2026-01-19,Referral,Manufacturing,Ontario,Medium,107,"$5,915,669",Sales Forecasting,17,74%,2,No,No,No,No,No,2.4,7,"$7,912",40,Rep D,No
L0248,2026-01-04,Google Search,Technology,Alberta,Large,404,"$24,208,858",Workflow Automation,18,22%,4,Yes,Yes,Yes,No,No,10.8,15,"$26,464",87,Rep C,Yes
L0249,2026-03-09,Google Search,Technology,British Columbia,Small,27,"$2,195,952",Workflow Automation,15,18%,3,No,No,Yes,No,No,4.7,35,"$2,098",53,Rep E,No
L0250,2026-01-19,Google Search,Hospitality,Ontario,Small,21,"$3,180,037",Customer Analytics,9,42%,0,Yes,No,No,Yes,No,13.4,14,"$1,500",55,Rep E,No
L0251,2026-01-31,Referral,Technology,Alberta,Small,43,"$447,623",Sales Forecasting,13,,2,No,No,No,No,No,5.6,32,"$1,972",40,Rep E,No
L0252,2026-04-08,Google Search,Hospitality,Ontario,Medium,185,,Workflow Automation,18,25%,0,Yes,Yes,Yes,Yes,No,13.2,21,"$11,329",81,Rep B,Yes
L0253,2026-01-26,LinkedIn Ads,Technology,British Columbia,Large,768,"$29,046,806",Customer Analytics,31,26%,4,Yes,Yes,Yes,No,No,0.0,37,"$76,992",91,Rep A,Yes
L0254,2026-04-28,LinkedIn Ads,Finance,Quebec,Small,48,"$362,740",Sales Forecasting,11,29%,1,Yes,Yes,Yes,Yes,No,5.1,28,"$4,161",83,Rep E,Yes
L0255,2026-01-02,Organic Website,Technology,Quebec,Small,35,"$1,344,295",Workflow Automation,12,31%,1,Yes,Yes,Yes,Yes,No,3.3,32,"$2,956",82,Rep A,Yes
L0256,2026-01-17,Referral,Hospitality,Prairies,Medium,75,"$13,002,011",Customer Analytics,20,32%,0,Yes,No,No,No,Yes,21.4,21,"$7,765",51,Rep B,No
L0257,2026-01-22,Organic Website,Manufacturing,British Columbia,Small,35,"$2,431,497",Workflow Automation,1,67%,0,No,No,No,No,Yes,16.1,46,"$2,576",5,Rep C,No
L0258,2026-01-27,Google Search,Professional Services,Alberta,Small,19,"$1,821,152",Marketing Automation,11,44%,4,No,Yes,No,No,No,15.1,37,"$1,500",53,Rep E,No
L0259,2026-04-01,Trade Show,Healthcare,Ontario,Medium,106,"$6,270,211",Workflow Automation,14,47%,3,Yes,No,Yes,No,No,10.5,31,"$4,438",66,Rep B,Yes
L0260,2026-02-21,Email Campaign,Education,Prairies,Medium,72,"$9,043,749",Workflow Automation,11,56%,2,No,Yes,Yes,Yes,No,1.7,21,"$3,854",70,Rep A,Yes
L0013,2026-01-14,Organic Website,Professional Services,Ontario,Small,55,"$2,064,248",Marketing Automation,18,2%,3,Yes,Yes,Yes,No,No,0.0,37,"$3,153",73,Rep D,Yes
L0059,2026-04-08,Email Campaign,Professional Services,British Columbia,Medium,233,"$3,729,561",Marketing Automation,19,46%,2,Yes,Yes,Yes,No,No,6.7,8,"$23,689",75,Rep D,Yes
L0144,2026-03-15,Google Search,Technology,Ontario,Medium,131,"$14,565,887",CRM Automation,19,45%,2,No,Yes,Yes,Yes,Yes,20.5,48,"$10,875",64,Rep E,Yes
L0202,2026-01-29,LinkedIn Ads,Education,Ontario,Medium,242,"$12,407,553",Workflow Automation,14,26%,4,No,Yes,No,No,Yes,12.0,26,"$21,736",49,Rep C,No
